CSP,no,horizon_depth29,horizon_distinctness30,soil_horizon31,soil_col32,org_matter33,ped_soil_moist36,ped_con37,ped_other38,ped_soil_structure39,ped_soil_size40,ped_voids_porosity41,cutan_feat44,bio_root45,bio_bio_feat46,gen_sub47,hand_text48,rock_artefacts49,coarse_mat50,chargo51,parent_material53,artefact_type54,abundance_size55,stratigraphy56,samp_num_dist60,samp_num_undist61
CSP14,1,-3,"de,w",Ah,10YR 2/2,h5,17.7,FR,Vw,kru,FI,gri2f2,,Wf1   Wg0,"M, C",uhg,Uls,fGr1,2,,Lhg,,,q,14-1-1,LD14-1-1
CSP14,2,-16,"di,e",Bv+Ah,10YR 4/4,h4,14.6,FVF,Vw,sub,ME,gri2f3    gri3f3,"V,CH,VO",Wf2   Wg3,"C,C",uhg,Us,fGr2,10,15,Lhg,,,q,14-1-2,LD14-1-2
CSP14,3,-31,"di,e",Ah+Bv,10YR 5/6,h3,15.9,FI,Vw,sub,ME,gri2f3,,Wf2   Wg2,"F,BO",uhg,Sl4,mGr3,20,,Lhg,,,q,14-1-3,LD14-1-3
CSP14,4,-40,"di,e",II Bv,"7,5YR 6/8",h3,15.9,FVF,,sub,ME,gri3f3   gri2f2,,Wf1   Wg1,,uhg,Sl4,"mGr3, fX5",70,,Xhg,,,"q,t",14-1-4,LD14-1-4
CSP14,5,-90,"di,e",III Bv+ilCv1,"7,5YR 6/8",h1,15.9,FVF,,sub,ME,gri3f3   gri2f2,,Wf1   Wg1,,uhg,Sl4,"mGr4, gGr4, mX5",70,,Xhg,,,"q,t",,
CSP14,6,-140,,III Bv+ilCv2,"7,5YR 6/8",h1,,FVF,,,ME,gri2f2,,Wf0    Wg0,,uhg,Ss,,,,Xhg,,,"q,t",,
CSP14,7,-180+,,ilCj,"7,5YR 6/6",h0,,,,,,,,Wf0   Wg0,,,,,,,,,,,,
CSP14,8,,,,,,,,,,,,,,,,,,,,,,,,,
CSP15,1,-52,"e,di",Ah-Btv,10YR 5/6,h3,15.5,FR,Vw,sub,FI,gri2f4    gri3f4,"M,CH,VO",Wf4   Wg3,"F,C   F,T",uhg,Sl4,fGr2             mGr1,25,31,shg,,,q,15-1-1,LD15-1-1
CSP15,2,-146,"e,sc",II Btv,10YR 5/8,h2,11.9,FR,,sub,ME,gri2f3    gr3f3,"F,CH,VO",Wf1    Wg2,,uhg,Sl3,fGr2          mX3,40,,"shg, xhg",,,q,15-1-2,LD15-1-2
CSP15,3,-179+,,III ilCv,"7,5YR 8/3",h0,,,,,,,,Wf0    Wg0,,uhg,Sl2,,,,,,,,,
CSP15,4,,,,,,,,,,,,,,,,,,,,,,,,,
CSP15,5,,,,,,,,,,,,,,,,,,,,,,,,,
CSP15,6,,,,,,,,,,,,,,,,,,,,,,,,,
CSP15,7,,,,,,,,,,,,,,,,,,,,,,,,,
CSP15,8,,,,,,,,,,,,,,,,,,,,,,,,,
CSP16,1,-7,w,Ah,10 YR 4/3,h4,,ko1,,sub-ei,h,"gri3-4, f3",,"Wf4, Wg2",Rwv,uhg,Ut2,fGr2,10,,Xhg,Bvh,,qh,16-1-1,
CSP16,2,-25,w,Ah+Bv,10 YR 6/6 +     10 YR 5/4,h2-3,,,"Hu,una",sub-ei,h,"gri3, f4",,"Wf3, Wg2",Rwv,uhg,Sl4,"fGr, gX",20,,Xhg,Bvh,,qh,16-1-2,
CSP16,3,-49,f,Bv,10 YR 6/6,h1,,ko2,,sub,h,"gri3, f3",,"Wf2, Wg2",Rwv,uhg,Ut3,fX4,25,,Xhg,Bvh,,qh,16-1-3,
CSP16,4,-70,e,II ilCv,10 YR 6/8,h0,,ko3-4,,sub,h,"gri2, f2",,"Wf0, Wg0",Rwv,uhg,Ut3,fX2-3,30,,Xhg,,,qh,16-1-4,
CSP16,5,-93,e,III ilCv1,7.5 YR 6/8,h0,,ko2,,sub,h,"gri3, f2",,"Wf0, Wg0",,uhg,Ut3,fX1,25,,Csa,,,qh,16-1-5,
CSP16,6,-142,,III ilCv2,7.5 YR 6/8,h0,,,,koh-sub,h,,,"Wf0, Wg0",,,Ls4,fGr,10,,Csa,,,qh,,
CSP16,7,-175,,III ilCv3,7.5 YR 6/8,h0,,,,,h,,,"Wf0, Wg0",,,,fGr,> 10,,Csa,,,qh,,
CSP16,8,-190+,,IV imCj,"7,5 YR 8/3",h0,,,,,h,,,,,,,fGr,> 10,,Csa,,,"q,t",,
CSP17,1,-5,"w,di",Ah,10 YR 3/2,h3,8,ko2,Wenig Vw,sub-kru,h,"gri2-3, f3",,Wf3; Wg3,,uhg,Ut2,fGr3,20,,Uuk,,,qh,17-1-1,
CSP17,2,-18,,Ah-Bv,10 YR 4/3,h2,6,ko2,Wenig Vw,sub-kru,h,"gri2-3, f3",,"Wf2, Wg2",,uhg,Ut2,"fGr2, mX4",50,,Uuk+Xhg,,,qh,17-1-2,
CSP17,3,-80+,,II Bv+xC,10 YR 5/6,h0,> 5,ko3,Wenig Vw,sub,h,"gri2, f2",,"Wf1, Wg0",,uhg,Ut4,"gGr2, gX6",90,,Xhg+G,,,qh,17-1-3,
CSP17,4,,,,,,,,,,,,,,,,,,,,,,,,,
CSP17,5,,,,,,,,,,,,,,,,,,,,,,,,,
CSP17,6,,,,,,,,,,,,,,,,,,,,,,,,,
CSP17,7,,,,,,,,,,,,,,,,,,,,,,,,,
CSP17,8,,,,,,,,,,,,,,,,,,,,,,,,,
CSP18,1,-14,"e,de",Bv-Ah(+Al),10YR 5/8,h4,16.2,FRF,Vw,kru-sub,FI,gri4f2  gri3f3   gri2f2,"V,CH,VO",Wf2   Wg2,"C,BO     F,C",uhg,Slu,,0,2,Shg,,,q,18-1-1,LD18-1-1
CSP18,2,-29,"e,de",Ah-B(t)v,"7,5YR 6/8",h3,16.2,VFV,,sub,ME,gri3f3   gri2f2    gri4f2,"F,CH,VO",Wf2   Wg2,"C,BO",uhg,Slu,fGr1,5,,Shg,,,q,18-1-2,LD18-1-2
CSP18,3,-73,"e,sc",II B(t)v,"7,5YR 5/8",h2,19.4,VFV,Vw,sub-pol,ME,gri3f3    gri2f3   gri4f2,,Wf2  Wg1,,uhg,Lt2,"mGr2, gGr3",30,,Lhg,,,q,18-1-3,LD18-1-3
CSP18,4,-140+,,III xCv,10YR 5/6,h0,,,,,,,,Wf0   Wg0,,uhg,Sl2,fX6,95,,Xhg,,,t,,
CSP18,5,,,,,,,,,,,,,,,,,,,,,,,,,
CSP18,6,,,,,,,,,,,,,,,,,,,,,,,,,
CSP18,7,,,,,,,,,,,,,,,,,,,,,,,,,
CSP18,8,,,,,,,,,,,,,,,,,,,,,,,,,
CSP19,1,-6,e,Ah,10 YR 5/4,h3,19.6,ko2,,sub(-kru),h,"gri2, f3",,"Wf4, Wg3",Rwu,uhg,Ut2,,0,,Lhg,,,qh,19-1-1,
CSP19,2,-20,e,Ah-Bv,10 YR 5/6,h1,26.9,ko2,Vw,sub,h,"gri2, f2",,"Wf3, Wg3",Rwu,uhg,Ut3,fGr1,1,,Lhg,Bvh,,qh,19-1-2,
CSP19,3,-35,,Al-Bv,10 YR 5/6,h0,26.9,ko2,Vw,sub(-koh),h,"gri3, f3 + gri2, f3",,"Wf2, Wg2",,uhg,Slu,fGr1,1,,Lhg,Bvh,,qh,19-1-3,
CSP19,4,-60,"w,de",II Bt,"7,5 YR 5/6",h0,26.7,ko3,Vw,sub-pol,h,"gri3, f2 + gri2, f2",,"Wf1, Wg1",,uhg,Uu,fGr1,1,,Lhg,Bvh,,qh,19-1-4,
CSP19,5,-80,e,II ilCv1,10 YR 5/8,h0,29.8,ko2,,koh,h,"gri2, f2 + gri3, f2",,"Wf0, Wg0",,uhg,Uu,fGr1,1,,Lhg,,,qh,19-1-5,
CSP19,6,-190+,,II ilCv2,10 YR 5/6,h0,25.3,ko2,,koh,h,"gri2, f3",,"Wf0, Wg0",,uhg,Uu,,1,,Lhg,,,qh,19-1-6,
CSP19,7,,,,,,,,,,,,,,,,,,,,,,,,,
CSP19,8,,,,,,,,,,,,,,,,,,,,,,,,,
CSP20,1,-3,"e,sc",Ah,10YR 3/2,h5,,VFR,,kru,FI,gri2f3   gri3f2   gri4f2,,Wf4   Wg2,,uhg,Ut2,,,,Lhg,,,q,20-1-1,
CSP20,2,-20,"e,de",Bv-Ah,10YR 4/4,h4,18.2,FI,Vw,sub,ME,gri2f4   gri3f2,,Wf3   Wg3,"C,C",uhg,Ut3,,,,Lhg,,,q,20-1-2,LD20-1-1
CSP20,3,-38,"k,de",Ah+Bv,10YR 5/6,h3,22.6,FR,Vw,sub,ME,gri2f3   gri3f3,"V,CH,VO",Wf3    Wg3,,uhg,Ut3,,,,Lhg,,,q,20-1-3,LD20-1-2
CSP20,4,-97,"e,di",Bv,10YR 6/8,h2,26.1,FI,,sub-pol,ME,gri2f4  gri3f2,,Wf2   Wg2,,uhg,Ut3,,,,Lhg,,,q,20-1-4,LD20-1-3
CSP20,5,-150+,,II Bv+ilCv,"7,5YR 6/8",h1+h0,25.1,FRF,,sub-pol,ME,,,Wf0  Wg0,,uhg,Ut3,,,,Lhg,,,"q,t",20-1-5,
CSP20,6,,,,,,,,,,,,,,,,,,,,,,,,,
CSP20,7,,,,,,,,,,,,,,,,,,,,,,,,,
CSP20,8,,,,,,,,,,,,,,,,,,,,,,,,,
CSP21,1,-3,,Ah,10YR 4/3,h5,,VFR,,kru,,,,,,uhg,,,1,,Shg,,,q,21-1-1,
CSP21,2,-11,,Bv-Ah,10YR 4/6,h3,12.3,VFR,,kru-sub,VF,gri3f2   gri2f3,,Wf5    Wg4,,uhg,Sl3,,1,,Shg,,,q,21-1-2,LD21-1-1
