id,site,PTAG,PR,NR,species,branchNR,WD,LA,SLA,CHL,LN,LP,LC,SD,SA,O1_D,O1_SRL,BA13,BA14,BA15,BA16,BA17,BA18
ind308,B,p206250,8,3,SP2,10,0.375,16.545,92.77588318,34.1,12.889,0.55,462.77,357.55,48.75756197,NA,NA,16.61902514,21.64753688,24.19222693,33.1830724,27.33971007,41.85386813
ind309,B,p206250,8,3,SP26,1,0.679,2.877,58.47533311,42.8,11.569,0.32,466.701,725.61,64.56683531,NA,NA,0.441786467,0.950331778,1.130973355,1.886919088,1.767145868,4.154756284
ind31,A,p106270,4,3,SP8,6,0.357,14.284,130.432,52,17.32,0.66,420.44,327,51.18128185,0.474,67.978,38.48451001,45.96346402,47.17297719,46.56625711,NA,
ind310,B,p206250,8,4,SP11,16,0.543,11.087,91.43793952,59.8,12.942,0.62,450.049,368.06,37.00617075,NA,NA,36.85284532,52.81017251,73.89811319,81.71282492,109.3588403,116.8986626
ind311,B,p206250,8,5,SP3,24,0.381,37.908,133.4787611,38.6,18.84,0.7,479.445,NA,NA,NA,NA,36.85284532,44.76965881,52.16810951,74.66191291,65.03882191,66.47610055
ind312,B,p206250,8,2,SP21,26,0.398,33.451,91.39598575,55.9,17.038,0.82,462.291,252.39,85.44134248,NA,NA,14.52201204,24.19222693,51.5299735,77.75638167,95.03317777,136.847776
ind313,B,p206250,8,3,SP6,31,0.576,29.388,103.114301,53.2,12.36,0.46,464.717,515.29,35.56564685,NA,NA,14.18625433,34.211944,58.76545408,74.66191291,153.93804,181.4583917
ind314,B,p206250,8,3,SP6,8,0.526,14.145,96.12988222,47.2,16.647,0.51,462.411,462.71,28.00979921,NA,NA,5.725552611,10.1787602,17.34944543,26.42079422,50.26548246,62.21138852
ind315,B,p206250,8,4,SP3,8,0.445,37.603,161.1557988,25.8,14.944,0.78,454.953,NA,NA,NA,NA,2.269800692,5.107051557,7.54767635,6.605198554,6.605198554,8.042477193
ind316,B,p206250,8,4,SP20,0,0.856,19.425,69.37492371,43.2,9.402,0.43,477.829,504.77,50.0099139,NA,NA,0.785398163,1.5393804,2.010619298,2.010619298,1.5393804,2.269800692
ind317,B,p206250,8,3,SP2,9,0.38,26.438,88.12825521,47.3,11.928,0.46,467.854,389.1,70.69367612,NA,NA,10.46346703,13.8544236,14.52201204,16.61902514,13.8544236,19.63495408
ind318,B,p206250,8,4,SP26,5,0.644,7.117,79.07474224,40.7,11.493,0.47,466.575,588.9,69.76753461,NA,NA,1.130973355,2.544690049,1.767145868,2.986476516,3.463605901,5.725552611
ind319,B,p206250,8,5,SP21,25,0.43,28.102,83.14127725,61.9,17.313,0.61,454.437,326,77.09722841,NA,NA,20.02961666,32.67452709,47.78362426,46.56625711,65.03882191,80.11846665
ind32,A,p106270,4,4,SP8,12,0.449,18.002,122.267,60,19.47,0.73,452.87,463,77.64147164,0.438,48.021,43.59156156,48.39819832,59.44678699,NA,98.52034562,107.5131546
ind320,B,p206250,8,6,SP26,5,0.654,5.583,72.1896336,44.1,11.242,0.46,469.4,641.48,42.65766974,NA,NA,1.5393804,2.83528737,5.309291585,5.939573611,8.042477193,14.52201204
ind321,B,p206250,8,3,SP11,14,0.486,19.499,86.66415744,44.7,11.737,0.47,447.095,473.22,49.56917986,NA,NA,27.33971007,43.59156156,62.91235638,74.66191291,91.60884178,113.0973355
