objectid,tree_id,address,species,com_name,dbh,height,condition,land_type,park_name,x,y
1537,3032,400 E 11TH ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),6,10,Good,ROW,,3116141.33501,10072035.9519
1538,3033,400 E 11TH ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),3,8,Good,ROW,,3116184.67580,10072023.5691
1539,3034,400 E 11TH ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),7,9,Good,ROW,,3116202.01238,10072018.6157
1540,3035,400 E 11TH ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),9,9,Good,ROW,,3116219.34863,10072013.6626
1541,3036,400 E 11TH ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),5,7,Poor,ROW,,3116240.40010,10072007.4710
1542,3037,400 E 11TH ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),8,17,Good,ROW,,3116261.45124,10072001.2794
1543,3038,400 E 11TH ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),14,14,Good,ROW,,3116281.26452,10071998.8027
1544,3039,400 E 11TH ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),14,14,Good,ROW,,3116294.88589,10071991.3726
1545,3040,400 E 11TH ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),11,12,Good,ROW,,3116310.98395,10071987.6578
1546,3041,400 E 11TH ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),7,7,Good,ROW,,3116329.55872,10071983.9429
1547,3042,400 E 11TH ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),11,12,Good,ROW,,3116380.72298,10071968.0308
1548,3043,400 E 11TH ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),3,5,Good,ROW,,3116439.41217,10071951.8744
1549,3044,400 E 11TH ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),3,5,Good,ROW,,3116451.47153,10071947.8353
1550,3045,400 E 11TH ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),3,5,Good,ROW,,3116462.03680,10071946.0761
1551,3046,400 E 11TH ST,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3116319.64929,10072040.7219
1552,3047,400 E 11TH ST,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3116343.06263,10072030.0045
1553,3048,400 E 11TH ST,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3116377.32174,10072020.2873
1554,3049,400 E 11TH ST,Vacant Planting Site - Small,Vacant Planting Site - Small,0,0,NA,ROW,,3116392.61371,10072016.7151
